iter	Passed	Remaining
0	0	84
1	1	79
2	2	77
3	3	75
4	3	74
5	4	72
6	5	70
7	6	69
8	6	68
9	7	67
10	8	65
11	8	65
12	9	64
13	10	63
14	11	62
15	11	61
16	12	60
17	13	59
18	13	59
19	14	58
20	15	57
21	15	56
22	16	55
23	17	55
24	18	54
25	18	53
26	19	52
27	20	51
28	20	51
29	21	50
30	22	49
31	23	48
32	23	48
33	24	47
34	25	46
35	25	46
36	26	45
37	27	44
38	28	44
39	29	43
40	29	43
41	30	42
42	31	41
43	32	40
44	32	40
45	33	39
46	34	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	41	31
57	42	30
58	42	29
59	43	29
60	44	28
61	45	27
62	46	27
63	47	26
64	48	25
65	49	25
66	50	24
67	51	24
68	52	23
69	53	22
70	54	22
71	55	21
72	56	20
73	57	20
74	58	19
75	59	18
76	60	17
77	61	17
78	61	16
79	62	15
80	63	14
81	64	14
82	65	13
83	66	12
84	67	11
85	68	11
86	69	10
87	70	9
88	70	8
89	71	7
90	72	7
91	73	6
92	74	5
93	75	4
94	76	4
95	77	3
96	78	2
97	78	1
98	79	0
99	80	0
